id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
221109,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 8 Oct 1992 ""18 die in guerrilla-backed protests across Colombia",,,,Military spokesman,1,El Tope town,Santander department,Santa Bárbara municipality,6.97143,-72.91441,POINT (-72.914410 6.971430),139175,Colombia,100,COL,Americas,1,1,1992-10-07,1992-10-07,0,5,9,0,14,14,14
221106,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,Inravision TV (Bogota) 11th October 1992,,,,,1,Chiriguaná town,Cesar department,Chiriguaná municipality,9.36238,-73.60313,POINT (-73.603130 9.362380),142773,Colombia,100,COL,Americas,1,1,1992-10-11,1992-10-11,0,2,0,0,2,2,2
221114,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 21 Oct 1992 ""Colombian guerrillas start big offensive, kill 11 soldiers",,,,Military spokesman,1,Highway between Bogotá and Villavicencio town,Cundinamarca department,,4.132997,-73.49515,POINT (-73.495150 4.132997),135574,Colombia,100,COL,Americas,1,1,1992-10-20,1992-10-20,0,2,1,0,3,3,3
221118,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 21 Oct 1992 ""Colombian guerrillas start big offensive, kill 11 soldiers",,,,Police spokesman,1,The road between Barracabarmeja and Bucaramanga,Santander department,,7.75956,-73.2922,POINT (-73.292200 7.759560),140614,Colombia,100,COL,Americas,1,1,1992-10-20,1992-10-20,11,0,0,0,11,11,11
221120,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"The Times 26 Oct 1992 ""Briton dies in shootout - Peter Kessler",,,,,1,Sierra Nevada de Santa Marta,Magdalena department,,10.82838,-73.69251,POINT (-73.692510 10.828380),144933,Colombia,100,COL,Americas,1,2,1992-10-23,1992-10-25,0,0,1,0,1,1,1
219655,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 26 Oct 1992 ""16 Colombians die in weekend guerrilla clashes",,,,Army sources,2,Aguachica town,Cesar department,Aguachica municipality,8.308442,-73.6166,POINT (-73.616600 8.308442),141333,Colombia,100,COL,Americas,1,1,1992-10-25,1992-10-25,0,1,0,0,1,1,1
219675,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 26 Oct 1992 ""16 Colombians die in weekend guerrilla clashes",,,,Military spokesman,4,Sucre department,Sucre department,,9.0,-75.0,POINT (-75.000000 9.000000),142771,Colombia,100,COL,Americas,1,1,1992-10-25,1992-10-25,0,3,0,0,3,3,3
221116,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 26 Oct 1992 ""16 Colombians die in weekend guerrilla clashes",,,,Police spokesman,1,Arboletes town,Antioquia department,Arboletes municipality,8.85051,-76.42694,POINT (-76.426940 8.850510),142048,Colombia,100,COL,Americas,1,1,1992-10-25,1992-10-25,3,0,2,0,5,5,5
221117,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 26 Oct 1992 ""16 Colombians die in weekend guerrilla clashes",,,,Army sources,2,Bogotá city,Bogotá department,Bogotá municipality,4.649178,-74.062827,POINT (-74.062827 4.649178),136292,Colombia,100,COL,Americas,1,1,1992-10-25,1992-10-25,2,0,0,0,2,2,2
221121,1992,0,1992,1992,3,605,FARC - Civilians,1072,FARC - Civilians,743,,FARC,1,,Civilians,-1,Reuters 1992-10-26,,,,army sources,1,Arboletes town,Antioquia department,Arboletes municipality,8.85051,-76.42694,POINT (-76.426940 8.850510),142048,Colombia,100,COL,Americas,1,1,1992-10-25,1992-10-25,0,0,0,0,0,0,2
221123,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 27 Oct 1992 ""Colombian clashes kill 14, pipeline blown up again."" /Lloyd's Information Casualty Report 30 October 1992",,,,Defence Ministry spokesman / Military spokesman,1,El Doncello town,Caquetá department,El Doncello municipality,1.678168,-75.284655,POINT (-75.284655 1.678168),131970,Colombia,100,COL,Americas,1,1,1992-10-27,1992-10-27,10,3,0,0,13,13,13
221124,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 7 Nov 1992 ""Guerrillas kill 26 police in Colombia"" /Reuters 8 Nov 1992 ""19 killed, 78 injured in Colombian guerrilla, drug attacks",,,,Police spokesman,2,Orito town,Putumayo department,Orito municipality,0.66749,-76.87297,POINT (-76.872970 0.667490),130527,Colombia,100,COL,Americas,1,1,1992-11-07,1992-11-07,26,5,0,0,31,31,31
221129,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"The Washington Post 9 Nov 1992 ""Emergency Is Declared In Colombia",,,,Official,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,1,1,1992-11-08,1992-11-08,0,0,0,0,0,0,9
221130,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 10 Nov 1992 ""Colombia army units kill 27 guerrillas in jungle - radio."" /Reuters 11 Nov 1992 ""Colombia government vows to blast guerrillas, bombs hurt 39",,,,RCN radio / Military spokesman /Police spokesman,2,La Hormiga town,Putumayo department,Valle del Guamuez municipality,0.37083,-76.89361,POINT (-76.893610 0.370830),129807,Colombia,100,COL,Americas,1,1,1992-11-10,1992-11-10,1,15,0,0,16,16,30
221133,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 13 Nov 1992 ""Colombian army kills 11 guerrillas in two attacks",,,,Military spokesman,4,Boyacá department,Boyacá department,,5.666667,-73.0,POINT (-73.000000 5.666667),137735,Colombia,100,COL,Americas,1,1,1992-11-12,1992-11-12,0,8,0,0,8,8,8
221134,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 13 Nov 1992 ""Colombian army kills 11 guerrillas in two attacks",,,,Military spokesman,4,Nariño department,Nariño department,,1.5,-78.0,POINT (-78.000000 1.500000),131965,Colombia,100,COL,Americas,1,1,1992-11-12,1992-11-12,0,3,0,0,3,3,3
221127,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 14 Nov 1992 ""Colombian army kills 58 guerrillas in combat around country",,,,Radio reports,1,Potosí municipality,Nariño department,Potosí municipality,0.75,-77.41667,POINT (-77.416670 0.750000),130526,Colombia,100,COL,Americas,1,1,1992-11-13,1992-11-13,0,15,0,0,15,15,15
221137,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 14 Nov 1992 ""Colombian army kills 58 guerrillas in combat around country",,,,Official,1,Ginebra town,Valle del Cauca  department,Ginebra municipality,3.724614,-76.266749,POINT (-76.266749 3.724614),134848,Colombia,100,COL,Americas,1,1,1992-11-13,1992-11-13,0,12,0,0,12,12,12
221138,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 14 Nov 1992 ""Colombian army kills 58 guerrillas in combat around country",,,,Defence Ministry spokesman / Radio reports,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,2,2,1992-11-13,1992-11-14,3,22,0,0,25,25,25
221128,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 16 Nov 1992 ""Colombians want government to be tougher still against rebels",,,,Defence Ministry spokesman,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,2,2,1992-11-13,1992-11-15,0,17,0,0,17,17,17
221145,1992,0,1992,1992,3,605,FARC - Civilians,1072,FARC - Civilians,743,,FARC,1,,Civilians,-1,Reuters 1992-11-18,,,,trade sources,1,Bucaramanga town,Santander department,Bucaramanga municipality,7.125393,-73.119804,POINT (-73.119804 7.125393),139894,Colombia,100,COL,Americas,1,1,1992-11-18,1992-11-18,0,0,1,0,1,1,1
221132,1992,0,1992,1992,3,606,ELN - Civilians,1073,ELN - Civilians,744,,ELN,1,,Civilians,-1,Reuters 1992-12-04,,,,police intelligence sources,1,Medellín town,Antioquia department,Medellín Medellín municipality,6.25184,-75.563591,POINT (-75.563591 6.251840),138449,Colombia,100,COL,Americas,1,1,1992-12-04,1992-12-04,0,0,1,0,1,1,1
219677,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 16 Dec 1992 ""Colombia rebel attacks kill one, injure 14",,,,Police spokesman,1,Bucaramanga town,Santander department,Bucaramanga municipality,7.125393,-73.119804,POINT (-73.119804 7.125393),139894,Colombia,100,COL,Americas,1,1,1992-12-15,1992-12-15,1,0,0,0,1,1,1
219678,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 17 Dec 1992 ""Colombian security forces kill 15 guerrillas.",,,,,2,San Pedro de Urabá  town,Antioquia department,San Pedro de Uraba municipality,8.27515,-76.37641,POINT (-76.376410 8.275150),141328,Colombia,100,COL,Americas,1,1,1992-12-16,1992-12-16,0,5,0,0,5,5,5
219711,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 17 Dec 1992 ""Colombian security forces kill 15 guerrillas.",,,,Police spokesman,1,Cúcuta town,Norte de Santander department,Cúcuta municipality,7.893907,-72.507821,POINT (-72.507821 7.893907),140615,Colombia,100,COL,Americas,1,1,1992-12-16,1992-12-16,0,2,0,0,2,2,2
221141,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"The Washington Post 17 Dec 1992 ""25 Colombians Killed"" /Reuters 17 Dec 1992 ""Colombian security forces kill 15 guerrillas.",,,,Radio reports,2,Santiago town,Norte de Santander department,Santiago municipality,7.864318,-72.716202,POINT (-72.716202 7.864318),140615,Colombia,100,COL,Americas,1,1,1992-12-16,1992-12-16,0,10,0,0,10,10,10
221146,1992,0,1992,1992,3,13812,MAS - Civilians,14915,MAS - Civilians,6579,,MAS,1,,Civilians,-1,"Rutas del Conflicto ""Masacre de Caño Embarrado"" http://rutasdelconflicto.com/interna.php?masacre=293",,,,,1,Vereda Caño Embarrado,Meta department,El Castillo municipality,3.66032,-73.91195,POINT (-73.911950 3.660320),134853,Colombia,100,COL,Americas,1,1,1992-12-20,1992-12-20,0,0,4,0,4,4,4
221149,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"R 27 Dec 1992 ""Colombia army, rebel Christmas clashes leave more than 30 dead.",,,,Caracol Radio,4,Putumayo department,Putumayo department,,0.5,-76.0,POINT (-76.000000 0.500000),130529,Colombia,100,COL,Americas,1,2,1992-12-24,1992-12-27,0,12,0,0,12,12,12
221139,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 27 Dec 1992 ""Colombia army, rebel Christmas clashes leave more than 30 dead.",,,,Colprensa news agency,3,Orito municipality,Putumayo department,Orito municipality,0.66822,-76.93474,POINT (-76.934740 0.668220),130527,Colombia,100,COL,Americas,1,1,1992-12-25,1992-12-25,8,2,0,0,10,10,10
219657,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 27 Dec 1992 ""Colombia army, rebel Christmas clashes leave more than 30 dead.",,,,,4,Antioquia department,Antioquia department,,7.0,-75.5,POINT (-75.500000 7.000000),139890,Colombia,100,COL,Americas,1,1,1992-12-26,1992-12-26,1,0,0,0,1,1,1
221154,1993,1,1993,1993,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 9 Jan 1993 ""Colombian army thwarts rebel bombing of oil pipeline.",,,,Military spokesman,1,Saravena town,Arauca department,Saravena municipality,6.953758,-71.87523,POINT (-71.875230 6.953758),139177,Colombia,100,COL,Americas,1,1,1993-01-08,1993-01-08,4,0,0,0,4,4,4
219714,1993,1,1993,1993,3,611,Medellín Cartel - Civilians,1078,Medellín Cartel - Civilians,774,,Medellín Cartel,1,,Civilians,-1,Reuters 1993-01-31,,,,police,1,Bogotá city,Bogotá department,Bogotá municipality,4.649178,-74.062827,POINT (-74.062827 4.649178),136292,Colombia,100,COL,Americas,1,1,1993-01-30,1993-01-30,0,0,21,0,21,21,21
221159,1993,1,1993,1993,2,4730,Medellín Cartel - PEPES,5340,Medellín Cartel - PEPES,774,,Medellín Cartel,811,,PEPES,-1,"Reuters 11 Feb 1993 ""Seven alleged Escobar aides killed by rivals in Colombia.",,,,Police spokesman,1,Medellín town,Antioquia department,Medellín Medellín municipality,6.25184,-75.563591,POINT (-75.563591 6.251840),138449,Colombia,100,COL,Americas,2,3,1993-02-01,1993-02-07,7,0,0,0,7,7,7
221157,1993,1,1993,1993,2,4730,Medellín Cartel - PEPES,5340,Medellín Cartel - PEPES,774,,Medellín Cartel,811,,PEPES,-1,"Reuters 5 Feb 1993 ""War breaks out inside Medellin drug cartel; over 30 dead",,,,Police and security sources,2,Medellín town,Antioquia department,Medellín Medellín municipality,6.25184,-75.563591,POINT (-75.563591 6.251840),138449,Colombia,100,COL,Americas,2,2,1993-02-03,1993-02-05,29,0,0,0,29,29,29
219658,1993,0,1993,1993,3,606,ELN - Civilians,1073,ELN - Civilians,744,,ELN,1,,Civilians,-1,Reuters 1993-02-11,,,,police and army officials,1,Barrancabermeja town,Santander department,Barrancabermeja municipality,7.065278,-73.854722,POINT (-73.854722 7.065278),139893,Colombia,100,COL,Americas,1,1,1993-02-10,1993-02-10,0,0,0,0,0,0,18
221143,1993,0,1993,1993,1,289,Colombia: Government,15558,Government of Colombia - EPL - Megateo,17,100.0,Government of Colombia,7074,,EPL - Megateo,-1,Inravision TV (Bogota) 8th Feb 1993,,,,,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,1,1,1993-02-08,1993-02-08,2,1,0,0,3,3,3
221160,1993,1,1993,1993,2,4730,Medellín Cartel - PEPES,5340,Medellín Cartel - PEPES,774,,Medellín Cartel,811,,PEPES,-1,"The Globe and Mail 11 Feb 1993 ""WORLD IN BRIEF Escobar accomplices killed",,,,Police spokesman,1,Medellín town,Antioquia department,Medellín Medellín municipality,6.25184,-75.563591,POINT (-75.563591 6.251840),138449,Colombia,100,COL,Americas,1,1,1993-02-10,1993-02-10,7,0,0,0,7,7,7
220566,1993,1,1993,1993,3,611,Medellín Cartel - Civilians,1078,Medellín Cartel - Civilians,774,,Medellín Cartel,1,,Civilians,-1,Reuters 1993-02-15,,,,police and eyewitnesses,1,Bogotá city,Bogotá department,Bogotá municipality,4.649178,-74.062827,POINT (-74.062827 4.649178),136292,Colombia,100,COL,Americas,1,1,1993-02-15,1993-02-15,0,0,4,0,4,4,4
